Fecha,Ciudad,Sucursal,Categoría,Índice_Laspeyres,Precio_Promedio_Pond,Inflación_Mensual_Acum,Inflación_Diaria
2026-07-12,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-12,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-12,La Paz,Calacoto,Frutas y Verduras,95.9431,58.82,-4.056899999999999,0.0
2026-07-12,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-13,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-13,La Paz,Calacoto,Abarrotes,89.107,26.27,-10.893,0.0
2026-07-13,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-13,La Paz,Calacoto,Frutas y Verduras,95.9431,58.82,-4.056899999999999,0.0
2026-07-13,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-14,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-14,La Paz,Calacoto,Abarrotes,89.107,26.27,-10.893,0.0
2026-07-14,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-14,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-14,La Paz,Calacoto,Frutas y Verduras,95.9431,58.82,-4.056899999999999,0.0
2026-07-14,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-15,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-15,La Paz,Calacoto,Abarrotes,100.0,13.53,0.0,0.12224628817040184
2026-07-15,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-15,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-15,La Paz,Calacoto,Frutas y Verduras,95.9431,58.82,-4.056899999999999,0.0
2026-07-15,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-16,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-16,La Paz,Calacoto,Abarrotes,89.107,26.27,-10.893,-0.10892999999999997
2026-07-16,La Paz,Calacoto,Bebidas,100.0,30.44,0.0,0.0
2026-07-16,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-16,La Paz,Calacoto,Frutas y Verduras,95.9431,58.82,-4.056899999999999,0.0
2026-07-16,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-17,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-17,La Paz,Calacoto,Abarrotes,89.107,26.27,-10.893,0.0
2026-07-17,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-17,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-17,La Paz,Calacoto,Frutas y Verduras,95.9431,58.82,-4.056899999999999,0.0
2026-07-17,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-18,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-18,La Paz,Calacoto,Abarrotes,89.3459,26.64,-10.6541,0.002681046382439156
2026-07-18,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
